Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood,score,text
50242,3aBUvpb5JgloqPuaIVeQzm,Viikate,Rillumarei!,Huomenta humalaiset,27,210748,False,0.447,0.897,4,-5.847,0,0.0622,0.00293,0.000599,0.359,0.374,110.047,4,heavy-metal,energetic,0.26968500000000006,Huomenta humalaiset by Viikate with mood energetic
75691,3ebqrNXythDHCE6PkzklpP,Dan Gibson's Solitudes,Island Spa,Balancing,21,384010,False,0.278,0.0787,9,-29.135,0,0.0582,0.76,0.568,0.944,0.0962,120.441,4,new-age,sad,0.7670881300000001,Balancing by Dan Gibson's Solitudes with mood sad
59678,5vsqY1n8gOnkKvaGQjShpm,XERXES THE DARK,The Rise Of A.I.,The Rise of A.I.,0,206614,True,0.456,0.405,2,-11.919,1,0.0453,0.0394,0.269,0.112,0.06,80.052,4,iranian,neutral,0.585625,The Rise of A.I. by XERXES THE DARK with mood neutral
23486,0QZdbOtajbimysXPJDkU3H,Claptone;Mylo,Drop The Pressure,Drop The Pressure,57,180990,True,0.699,0.869,8,-5.212,1,0.0374,0.101,0.21,0.0767,0.252,124.003,4,deep-house,energetic,0.3726650000000001,Drop The Pressure by Claptone;Mylo with mood energetic
66380,6ITSE0sLl1JWBlZfBbuMKZ,Cupid,Underground Classics,Swing Around the Rosey,13,294452,False,0.766,0.539,7,-5.281,1,0.0341,0.0255,2.27e-06,0.103,0.865,102.979,4,kids,calm,0.007945999999999986,Swing Around the Rosey by Cupid with mood calm
27984,1tqAwHKld4NLbYmqeKLzXx,Calyx & TeeBee,1x1,Nothing Left,15,297455,False,0.473,0.923,6,-2.72,1,0.0715,0.0402,0.0335,0.0694,0.0923,172.024,4,drum-and-bass,energetic,0.60516829,Nothing Left by Calyx & TeeBee with mood energetic
49896,3yDaoyXrL0R5J7PCSHlxdR,A-Lusion;Scope DJ;Second Identity,A-lusion & Scope DJ present Second Identity,Live Without Existing - CD Version,19,275920,False,0.607,0.947,1,-6.687,1,0.0629,0.00093,0.31,0.267,0.196,151.358,4,hardstyle,energetic,0.4852250000000001,Live Without Existing - CD Version by A-Lusion;Scope DJ;Second Identity with mood energetic
112231,7kTRgxS3THFvORSeb1NZ2x,Şanışer,LUDOVICO II,Yanıma Gelmesinler,44,199026,True,0.663,0.579,7,-11.992,1,0.226,0.0664,0.0,0.245,0.592,99.957,4,turkish,calm,0.043705000000000035,Yanıma Gelmesinler by Şanışer with mood calm
101816,1Xs8qLgBD1IeblneE69YsV,Mila Harper,Gan Duille,Gan Duille,59,151522,False,0.196,0.0464,6,-29.211,1,0.0414,0.981,0.977,0.116,0.0385,71.031,4,sleep,sad,0.8863552100000001,Gan Duille by Mila Harper with mood sad
4015,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,In A Time Lapse,Experience,79,315426,False,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,ambient,neutral,0.606497,Experience by Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani with mood neutral
5637,1z26rWstm3Qy1XdotC6mPx,shirobeats;Trap Music Now;JOEHDAH,Berserk Skeleton Meme Song (Remix),Berserk Skeleton Meme Song - Remix,49,131543,False,0.707,0.792,6,-6.885,0,0.0655,0.244,0.836,0.158,0.873,147.068,4,anime,happy,0.042193000000000015,Berserk Skeleton Meme Song - Remix by shirobeats;Trap Music Now;JOEHDAH with mood happy
12787,2R4HpkM8YCaZw3HgJBfCqb,Roman Tam,射鵰英雄傳,千愁記舊情 (無線電視劇[射鵰英雄傳之華山論劍]插曲),19,225426,False,0.321,0.35,7,-12.777,0,0.0308,0.395,0.0,0.287,0.181,160.122,4,cantopop,sad,0.445661,千愁記舊情 (無線電視劇[射鵰英雄傳之華山論劍]插曲) by Roman Tam with mood sad
51156,0C4KChnQFHNgtjbppUFooH,Zack Knight;Nora Fatehi,Dirty Little Secret,Dirty Little Secret,67,183092,False,0.868,0.572,0,-6.217,0,0.112,0.101,0.0,0.103,0.485,96.985,4,hip-hop,neutral,0.10000900000000004,Dirty Little Secret by Zack Knight;Nora Fatehi with mood neutral
